iter	MAE
0	8.71628853
1	8.704824566
2	8.692089036
3	8.679175613
4	8.669641343
5	8.658220754
6	8.652233336
7	8.640588526
8	8.630248819
9	8.625666683
10	8.614779802
11	8.606464699
12	8.598104443
13	8.588980507
14	8.579554056
15	8.575844262
16	8.567910052
17	8.552015604
18	8.547893543
19	8.541892164
20	8.532828651
21	8.525729943
22	8.519036121
23	8.512611128
24	8.503604679
25	8.496869523
26	8.493793906
27	8.491170952
28	8.484840695
29	8.483376911
30	8.480391791
31	8.471811503
32	8.465752103
33	8.460630544
34	8.458306975
35	8.455074938
36	8.44998527
37	8.446732552
38	8.44041864
39	8.435491593
40	8.43252124
41	8.428588344
42	8.425979633
43	8.423562041
44	8.420870249
45	8.417679163
46	8.411241737
47	8.409505854
48	8.405133296
49	8.402761124
50	8.400353188
51	8.396486356
52	8.391694261
53	8.376579057
54	8.37323723
55	8.37040374
56	8.368455465
57	8.363401718
58	8.359962283
59	8.348986374
60	8.34210471
61	8.338921868
62	8.337149202
63	8.334153136
64	8.332336733
65	8.328985078
66	8.32690705
67	8.324622133
68	8.322999441
69	8.320776879
70	8.317774092
71	8.316046535
72	8.31420304
73	8.312328007
74	8.301038709
75	8.291171217
76	8.287539683
77	8.286063198
78	8.284158646
79	8.282874146
80	8.280882708
81	8.279318019
82	8.2731932
83	8.271075486
84	8.270405013
85	8.268416418
86	8.266090176
87	8.261937913
88	8.260538736
89	8.257945765
90	8.256781873
91	8.25570452
92	8.247451623
93	8.244466755
94	8.242944813
95	8.24192491
96	8.238893528
97	8.237160043
98	8.235217427
99	8.23361071
100	8.232077649
101	8.229820325
102	8.226760521
103	8.225408019
104	8.222270252
105	8.220421052
106	8.217659902
107	8.215830976
108	8.213826567
109	8.212427595
110	8.209849799
111	8.206897486
112	8.205061008
113	8.204104982
114	8.197248984
115	8.195583568
116	8.188609751
117	8.186109201
118	8.184812581
119	8.183436962
120	8.175276908
121	8.173524304
122	8.172249628
123	8.170772644
124	8.168622449
125	8.167049918
126	8.166131428
127	8.1635505
128	8.162397966
129	8.161026253
130	8.159029129
131	8.151349126
132	8.141281238
133	8.140227741
134	8.139286771
135	8.13740195
136	8.135305522
137	8.132899594
138	8.131358081
139	8.12994723
140	8.126224678
141	8.12445133
142	8.123306057
143	8.121277209
144	8.119219466
145	8.117784637
146	8.11167503
147	8.110737242
148	8.10948254
149	8.108683209
150	8.107314505
151	8.105974116
152	8.104193235
153	8.10300595
154	8.101692951
155	8.100160135
156	8.098906459
157	8.097250984
158	8.095673625
159	8.093746574
160	8.089925766
161	8.088596354
162	8.08659218
163	8.082882927
164	8.080689713
165	8.079401733
166	8.078421371
167	8.076859304
168	8.07551812
169	8.071075588
170	8.070171962
171	8.069026386
172	8.067823943
173	8.066685419
174	8.06436822
175	8.058652885
176	8.056605607
177	8.055396493
178	8.054125091
179	8.052941486
180	8.051286222
181	8.050317805
182	8.049137008
183	8.048282984
184	8.047413591
185	8.04594225
186	8.043778485
187	8.037205289
188	8.036380603
189	8.035466412
190	8.032249639
191	8.031320899
192	8.030501793
193	8.029085062
194	8.028064367
195	8.026400253
196	8.025082293
197	8.02354489
198	8.022656959
199	8.021234283
200	8.020242187
201	8.01900313
202	8.017796375
203	8.016842903
204	8.015748617
205	8.014679422
206	8.012732469
207	8.01155084
208	8.009788145
209	8.008582321
210	8.007474187
211	8.005958832
212	8.005303402
213	8.003900987
214	8.002366251
215	8.000737396
216	7.996424123
217	7.995536418
218	7.994283025
219	7.993277444
220	7.991205979
221	7.989011493
222	7.987216127
223	7.986712848
224	7.982969102
225	7.98189927
226	7.976863476
227	7.975462327
228	7.974384958
229	7.973332214
230	7.972364936
231	7.971337357
232	7.969538133
233	7.968751912
234	7.967893651
235	7.966968905
236	7.966123129
237	7.962789249
238	7.957539257
239	7.955146368
240	7.954564847
241	7.953424526
242	7.951864684
243	7.949686633
244	7.943461707
245	7.942709264
246	7.939053641
247	7.937456372
248	7.936558589
