p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
paul sach,matěj volf,10.0,5.0,5.0,0.07064907534250336,13.154466921924278,3.2523065007375225,20.6
magnus åberg,daniel lipowski,5.0,2.0,3.0,0.0582441496894724,16.16910634512619,2.4957034031548586,6.4
daniel naumescu,oliver hummel,-25.0,-19.0,6.0,0.06607792209319684,14.133647795243801,3.361560130113162,1.8
mathieu parisot,miłosz dużyński,-5.0,2.0,7.0,0.050806264328958725,18.68261223705079,3.2473530848020147,-2.6
alexander kaess,michal fojtík,30.0,19.0,11.0,0.05650577815620389,16.69730517179344,3.174354925721743,-8.0
tomas jirouch,florian baumgartner,-12.0,13.0,25.0,0.05948348715197548,15.811388300841896,3.295674968994612,4.0
christian schupp,graham king,14.0,14.0,0.0,0.13957875683699938,6.164414002968976,3.5486324173563077,25.0
ola ulmo,balázs döbörhegyi,9.0,23.0,14.0,0.10349220868561705,8.662563131083086,2.284331001583925,-11.4
volker sach,vincent david,25.0,12.0,13.0,0.09067859491138348,10.02796090937734,2.9135246917803075,32.2
leon griffiths,simon vaclahovsky,20.0,14.0,6.0,0.055479462526050176,17.024687956024334,6.250295255869941,7.6
dara ladner,sandra ettenauer,22.0,20.0,2.0,0.05134542921556469,18.475930287809597,4.781639005528846,7.8
šimon kniezek,stefan steckermeier,3.0,9.0,6.0,0.08086285328164007,11.366617790706258,2.376693252859551,13.0
zdeněk nemazal,daniel jendřejek,23.0,3.0,20.0,0.10349220868561705,8.662563131083086,2.353824420102933,6.4
florian prorok,piotr ostaszyk,21.0,17.0,4.0,0.06480661651243948,14.430523206037957,2.6093332742794866,19.6
mohammed tarik koubaa,koen hageraats,-27.0,-25.0,2.0,0.05317560147843307,17.805617091243988,4.113537852694811,-17.4
robin sam,jiří salamon,37.0,34.0,3.0,0.2737251377954172,2.65329983228432,3.270751869249935,35.6
martin voplakal,dieter mühl,12.0,16.0,4.0,0.06806947474844381,13.690872872099865,2.2887201839951588,4.4
dieter gomm,vilém stráník,10.0,8.0,2.0,0.0592432974718242,15.879546593023367,2.9111447029957525,8.8
emeric lardet,martin bartoš,-17.0,-10.0,7.0,0.057112208229456306,16.50939126679115,3.84993153377917,18.2
