p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,density_confidence,combined_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
paul sach,matěj volf,10.0,5.0,5.0,0.06418716947856909,0.10494494171283235,0.0743766125371349,14.579437574886077,8.52880609278306,15.2
magnus åberg,daniel lipowski,5.0,2.0,3.0,0.1935533821026853,0.08413378747831747,0.16619848344659333,4.166533331199932,10.885831245356865,15.8
daniel naumescu,oliver hummel,-25.0,-19.0,6.0,0.03355704697986577,0.08274243658872206,0.045853394382079846,28.8,11.085696786651093,-11.4
mathieu parisot,miłosz dużyński,-5.0,2.0,7.0,0.0695526702998006,0.07779938489795228,0.07161434894933852,13.377593206552515,11.853572059877822,-3.8
alexander kaess,michal fojtík,30.0,19.0,11.0,0.04311516965930856,0.10902167796486927,0.05959179673569874,22.19369279772972,8.172487698476226,-7.8
tomas jirouch,florian baumgartner,-12.0,13.0,25.0,0.05519247754151666,0.1043228963985013,0.06747508225576282,17.118411141224527,8.58562342997185,3.6
christian schupp,graham king,14.0,14.0,0.0,0.08184750824979276,0.09906339321580945,0.08615147949129692,11.217842929904126,9.094546204585397,14.4
ola ulmo,balázs döbörhegyi,9.0,23.0,14.0,0.04198895990876483,0.07964031969636372,0.05140179985566455,22.815784010197852,11.55645386423102,-19.2
volker sach,vincent david,25.0,12.0,13.0,0.056582425994704214,0.09578621134301998,0.06638337233178315,16.673332000533065,9.439915996039348,18.0
leon griffiths,simon vaclahovsky,20.0,14.0,6.0,0.123040399045827,0.06576456509700615,0.10872144055862179,7.127411872482185,14.205757059671086,19.0
dara ladner,sandra ettenauer,22.0,20.0,2.0,0.05872000284267503,0.07933143239642527,0.06387286023111259,16.029971927611104,11.605344058366715,5.2
šimon kniezek,stefan steckermeier,3.0,9.0,6.0,0.08828724455452924,0.09428215985175038,0.08978597337883452,10.326664514740468,9.606460454155947,13.4
zdeněk nemazal,daniel jendřejek,23.0,3.0,20.0,0.06940848405502067,0.11588348454060746,0.08102723417641737,13.407460609675494,7.629357358076194,4.2
florian prorok,piotr ostaszyk,21.0,17.0,4.0,0.061048170927934714,0.10578704184321895,0.07223288865675577,15.380507143784305,8.452953618667625,26.8
